Date,Zach,Pete,,Zach Total,Pete Total,Delta,,Zach Wins,Pete Wins,,Score,Zach Scores,Score,Pete Scores,,,,Date,Games Played,Pete Score,Zach Score
2025-06-18,,1,,,,,,,,,,,,,,,,,,,
2025-06-18,,2,,,,,,,,,,,,,,,,,,,
2025-06-18,,1,,,,,,,,,,,,,,,,,,,
2025-06-18,1,,,,,,,,,,,,,,,,,,,,
2025-06-18,,1,,,,,,,,,,,,,,,,,,,
2025-06-18,2,,,,,,,,,,,,,,,,,,,,
2025-06-18,,4,,,,,,,,,,,,,,,,,,,
2025-06-18,,4,,,,,,,,,,,,,,,,,,,
2025-06-18,,1,,,,,,,,,,,,,,,,,,,
2025-06-18,,1,,,,,,,,,,,,,,,,,,,
2025-06-18,,4,,,,,,,,,,,,,,,,,,,
2025-06-18,,2,,,,,,,,,,,,,,,,,,,
2025-06-18,2,,,,,,,,,,,,,,,,,,,,
2025-06-20,4,,gammon,,,,,,,,,,,,,,,,,,
2025-06-20,4,,gammon,,,,,,,,,,,,,,,,,,
2025-06-20,,1,,,,,,,,,,,,,,,,,,,
2025-06-20,1,,,,,,,,,,,,,,,,,,,,
2025-06-20,1,,,,,,,,,,,,,,,,,,,,
2025-06-20,,2,,,,,,,,,,,,,,,,,,,
2025-06-20,2,,,,,,,,,,,,,,,,,,,,
2025-06-20,,,,,,,,,,,,,,,,,,,,,
2025-06-20,,4,,,,,,,,,,,,,,,,,,,
2025-06-20,1,,,,,,,,,,,,,,,,,,,,
2025-06-20,2,,,,,,,,,,,,,,,,,,,,
2025-06-20,2,,gammon,,,,,,,,,,,,,,,,,,
2025-06-20,1,,,,,,,,,,,,,,,,,,,,
2025-06-20,,1,,,,,,,,,,,,,,,,,,,
2025-06-20,,1,,,,,,,,,,,,,,,,,,,
2025-06-20,,4,,,,,,,,,,,,,,,,,,,
2025-06-20,,1,,,,,,,,,,,,,,,,,,,
2025-06-20,2,,,,,,,,,,,,,,,,,,,,
2025-06-20,,1,,,,,,,,,,,,,,,,,,,
2025-06-20,,1,,,,,,,,,,,,,,,,,,,
2025-06-20,2,,,,,,,,,,,,,,,,,,,,
2025-06-20,4,,,,,,,,,,,,,,,,,,,,
2025-06-20,4,,,,,,,,,,,,,,,,,,,,
2025-06-22,2,,,,,,,,,,,,,,,,,,,,
2025-06-22,,2,,,,,,,,,,,,,,,,,,,
2025-06-22,4,,,,,,,,,,,,,,,,,,,,
2025-06-22,,4,,,,,,,,,,,,,,,,,,,
2025-06-24,4,,,,,,,,,,,,,,,,,,,,
2025-06-24,,1,,,,,,,,,,,,,,,,,,,
2025-06-24,2,,gammon,,,,,,,,,,,,,,,,,,
2025-06-24,,1,,,,,,,,,,,,,,,,,,,
2025-06-24,2,,gammon,,,,,,,,,,,,,,,,,,
2025-06-24,,1,,,,,,,,,,,,,,,,,,,
